Título,Endereço,Metro_m2,N_Quartos,N_Banheiros,N_Garagens,Valor_Mensal
"Apartamento com 3 Quartos para Aluguel, 212m²","Rua Comendador Tórlogo Dauntre, 36 - Cambuí, Campinas - SP",212,"3
              

                Quartos","4
              

                Banheiros","3
                

                  Vagas","R$ 3.500
                      /Mês

Preço abaixo do mercado"
"Apartamento com 2 Quartos para Aluguel, 54m²","Rua Otávio Machado, 160 - Taquaral, Campinas - SP",54,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 2.700
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 180m²","Rua São Pedro, 142 - Cambuí, Campinas - SP",180,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 5.000
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 73m²","Rua Jasmim - Mansões Santo Antônio, Campinas - SP",73,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 3.100
                      /Mês"
"Apartamento com  Quarto para Aluguel, 50m²","Rua Luzitana, 1376 - Centro, Campinas - SP",50,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 600
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Santo Antônio, 322 - Cambuí, Campinas - SP",100,"3
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 4.600
                      /Mês"
"Apartamento com  Quarto para Aluguel, 38m²","Botafogo, Campinas - SP",38,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 700
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 50m²","Rua Barreto Leme, 1920 - Cambuí, Campinas - SP",50,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 4.000
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 75m²","Vila Brandina, Campinas - SP",75,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 2.900
                      /Mês"
"Apartamento com  Quarto para Aluguel, 45m²","Rua Major Solon - Cambuí, Campinas - SP",45,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 900
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 87m²","Avenida Brunoro de Gasperi - Parque Prado, Campinas - SP",87,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 3.300
                      /Mês"
"Apartamento com 4 Quartos para Aluguel, 265m²","Rua Coronel Quirino, 492 - Cambuí, Campinas - SP",265,"4
              

                Quartos","6
              

                Banheiros","2
                

                  Vagas","R$ 3.500
                      /Mês

Preço abaixo do mercado"
